frame.number	ip.src	ip.dst
1		
2		
3		
4		
5	10.133.19.67	198.252.206.25
6	198.252.206.25	10.133.19.67
7		
8		
9	10.133.19.67	142.250.191.99
10	10.133.19.67	142.250.191.99
11	10.133.19.67	142.250.191.99
12	142.250.191.99	10.133.19.67
13	142.250.191.99	10.133.19.67
14	142.250.191.99	10.133.19.67
15	142.250.191.99	10.133.19.67
16	142.250.191.99	10.133.19.67
17	10.133.19.67	142.250.191.99
18	10.133.19.67	142.250.191.99
19	10.133.19.67	142.250.191.99
20	142.250.191.99	10.133.19.67
21	142.250.191.99	10.133.19.67
22	10.133.19.67	142.250.191.99
23	142.250.191.99	10.133.19.67
24	10.133.19.67	142.250.191.99
25	142.250.191.99	10.133.19.67
26		
27		
28		
29		
30		
31		
32		
33		
34		
35		
36		
37		
38		
39		
40		
41		
42		
43	142.250.191.106	10.133.19.67
44	10.133.19.67	142.250.191.106
45		
46		
47	10.133.19.67	142.250.191.106
48	142.250.191.106	10.133.19.67
49		
50		
51		
52	10.133.19.67	142.250.191.106
53		
54	142.250.191.106	10.133.19.67
55	162.159.134.234	10.133.19.67
56	10.133.19.67	162.159.134.234
57	10.133.19.67	142.250.191.106
58	142.250.191.106	10.133.19.67
59		
60		
61		
62		
63	10.133.19.67	142.250.191.106
64	142.250.191.106	10.133.19.67
65		
66		
67	10.133.19.67	142.250.191.106
68	142.250.191.106	10.133.19.67
69		
70		
71		
72		
73		
74		
75	10.133.19.67	142.250.191.106
76	142.250.191.106	10.133.19.67
77		
78		
79		
80		
81	10.133.19.67	142.250.191.106
82		
83		
84		
85	142.250.191.106	10.133.19.67
86	10.133.19.67	151.101.148.193
87	151.101.148.193	10.133.19.67
88		
89		
90		
91		
92		
93		
94		
95		
96		
97		
98		
99	10.133.19.67	142.250.191.106
100		
101	142.250.191.106	10.133.19.67
102	142.250.190.46	10.133.19.67
103	10.133.19.67	142.250.190.46
104		
105		
106		
107	10.133.19.67	151.101.65.69
108	151.101.65.69	10.133.19.67
109		
110		
111		
112		
113		
114		
115		
116	10.133.19.67	17.248.139.208
117	10.133.19.67	17.248.139.208
118	17.248.139.208	10.133.19.67
119	17.248.139.208	10.133.19.67
120	17.248.139.208	10.133.19.67
121	10.133.19.67	17.248.139.208
122		
123		
124		
125		
126		
127	10.133.19.67	142.250.191.106
128	142.250.191.106	10.133.19.67
129		
130		
131		
132		
133		
134		
135	10.133.19.67	142.250.190.46
136	142.250.190.46	10.133.19.67
137	10.133.19.67	142.250.190.46
138	142.250.190.46	10.133.19.67
139	142.250.190.46	10.133.19.67
140	10.133.19.67	142.250.190.46
141	10.133.19.67	142.250.190.46
142	142.250.190.46	10.133.19.67
143		
144		
145		
146		
147		
148		
149		
150		
151		
152		
153		
154		
155		
156		
157		
158		
159		
160		
161		
162		
163	10.133.19.67	142.250.191.106
164	142.250.191.106	10.133.19.67
165		
166		
167		
168		
169		
170		
171		
172		
173		
174		
175		
176		
177		
178		
179		
180		
181		
182		
183		
184		
185		
186		
187		
188		
189		
190		
191		
192		
193		
194		
195		
196		
197		
198		
199		
200		
201		
202		
203		
204		
205		
206		
207	162.159.134.234	10.133.19.67
208	10.133.19.67	162.159.134.234
209		
210		
211		
212		
213		
214		
215		
216		
217		
218		
219		
220		
221		
222		
223		
224		
225		
226		
227		
228		
229		
230		
231		
232		
233		
234		
235		
236		
237		
238		
239		
240		
241		
242		
243		
244		
245		
246		
247		
248		
249		
250		
251		
252		
253		
254		
255		
256		
257		
258		
259		
260		
261		
262		
263		
264		
265		
266		
267		
268		
269		
270		
271		
272		
