frame.number	ip.src	ip.dst
1	10.133.19.67	142.250.190.110
2	142.250.190.110	10.133.19.67
3	10.133.19.67	142.250.190.110
4	142.250.190.110	10.133.19.67
5	142.250.190.110	10.133.19.67
6	142.250.190.110	10.133.19.67
7	142.250.190.110	10.133.19.67
8	10.133.19.67	142.250.190.110
9	142.250.190.110	10.133.19.67
10	10.133.19.67	142.250.190.110
11	10.133.19.67	142.250.190.110
12	142.250.190.110	10.133.19.67
13		
14	10.133.19.67	162.159.134.234
15	162.159.134.234	10.133.19.67
16	10.133.19.67	162.159.134.234
17		
18		
19	10.133.19.67	142.250.190.110
20	142.250.190.110	10.133.19.67
21	10.133.19.67	142.250.190.110
22	142.250.190.110	10.133.19.67
23	142.250.190.110	10.133.19.67
24	142.250.190.110	10.133.19.67
25	142.250.190.110	10.133.19.67
26	142.250.190.110	10.133.19.67
27	142.250.190.110	10.133.19.67
28	142.250.190.110	10.133.19.67
29	142.250.190.110	10.133.19.67
30	142.250.190.110	10.133.19.67
31	142.250.190.110	10.133.19.67
32	142.250.190.110	10.133.19.67
33	142.250.190.110	10.133.19.67
34	142.250.190.110	10.133.19.67
35	142.250.190.110	10.133.19.67
36	142.250.190.110	10.133.19.67
37	142.250.190.110	10.133.19.67
38	142.250.190.110	10.133.19.67
39	142.250.190.110	10.133.19.67
40	142.250.190.110	10.133.19.67
41	142.250.190.110	10.133.19.67
42	142.250.190.110	10.133.19.67
43	142.250.190.110	10.133.19.67
44	142.250.190.110	10.133.19.67
45	142.250.190.110	10.133.19.67
46	142.250.190.110	10.133.19.67
47	142.250.190.110	10.133.19.67
48	142.250.190.110	10.133.19.67
49	142.250.190.110	10.133.19.67
50	142.250.190.110	10.133.19.67
51	142.250.190.110	10.133.19.67
52	142.250.190.110	10.133.19.67
53	142.250.190.110	10.133.19.67
54	142.250.190.110	10.133.19.67
55	142.250.190.110	10.133.19.67
56	142.250.190.110	10.133.19.67
57	142.250.190.110	10.133.19.67
58	142.250.190.110	10.133.19.67
59	142.250.190.110	10.133.19.67
60	142.250.190.110	10.133.19.67
61	142.250.190.110	10.133.19.67
62	10.133.19.67	142.250.190.110
63	142.250.190.110	10.133.19.67
64	10.133.19.67	142.250.190.110
65	10.133.19.67	142.250.190.110
66	142.250.190.110	10.133.19.67
67	10.133.19.67	142.250.190.110
68	10.133.19.67	142.250.190.110
69	142.250.190.110	10.133.19.67
70	10.133.19.67	142.250.191.195
71		
72		
73	142.250.191.195	10.133.19.67
74	142.250.191.195	10.133.19.67
75	10.133.19.67	142.250.191.195
76	142.250.191.195	10.133.19.67
77	10.133.19.67	142.250.190.110
78		
79	142.250.190.110	10.133.19.67
80	10.133.19.67	142.250.190.110
81	142.250.190.110	10.133.19.67
82	142.250.190.110	10.133.19.67
83	10.133.19.67	142.250.190.110
84	142.250.190.110	10.133.19.67
85		
86		
87		
88		
89		
90		
91		
92		
93		
94	10.133.19.67	142.250.190.110
95	142.250.190.110	10.133.19.67
96	142.250.190.110	10.133.19.67
97	142.250.190.110	10.133.19.67
98	142.250.190.110	10.133.19.67
99	142.250.190.110	10.133.19.67
100	142.250.190.110	10.133.19.67
101	142.250.190.110	10.133.19.67
102	142.250.190.110	10.133.19.67
103	142.250.190.110	10.133.19.67
104	142.250.190.110	10.133.19.67
105	142.250.190.110	10.133.19.67
106	142.250.190.110	10.133.19.67
107	142.250.190.110	10.133.19.67
108	142.250.190.110	10.133.19.67
109	142.250.190.110	10.133.19.67
110	142.250.190.110	10.133.19.67
111	142.250.190.110	10.133.19.67
112	142.250.190.110	10.133.19.67
113	142.250.190.110	10.133.19.67
114	142.250.190.110	10.133.19.67
115	142.250.190.110	10.133.19.67
116	142.250.190.110	10.133.19.67
117	142.250.190.110	10.133.19.67
118	142.250.190.110	10.133.19.67
119	142.250.190.110	10.133.19.67
120	142.250.190.110	10.133.19.67
121	142.250.190.110	10.133.19.67
122	142.250.190.110	10.133.19.67
123	142.250.190.110	10.133.19.67
124	142.250.190.110	10.133.19.67
125	10.133.19.67	142.250.190.110
126	10.133.19.67	142.250.190.110
127	10.133.19.67	142.250.190.110
128	142.250.190.110	10.133.19.67
129	142.250.190.110	10.133.19.67
130	10.133.19.67	142.250.190.110
131	142.250.190.110	10.133.19.67
132		
133		
134		
135	10.133.19.67	142.250.191.195
136	142.250.191.195	10.133.19.67
137	10.133.19.67	142.250.191.195
138	142.250.191.195	10.133.19.67
139	142.250.191.195	10.133.19.67
140	142.250.191.195	10.133.19.67
141	10.133.19.67	142.250.191.195
142	10.133.19.67	142.250.191.195
143		
144	10.133.19.67	142.250.191.195
145		
146		
147	10.133.19.67	142.250.191.106
148		
149	10.133.19.67	137.22.1.7
150	10.133.19.67	137.22.1.7
151	137.22.1.7	10.133.19.67
152	137.22.1.7	10.133.19.67
153	10.133.19.67	142.251.32.10
154	142.250.191.195	10.133.19.67
155	142.250.191.195	10.133.19.67
156	142.250.191.195	10.133.19.67
157	142.250.191.195	10.133.19.67
158	142.250.191.195	10.133.19.67
159	142.250.191.195	10.133.19.67
160	142.250.191.195	10.133.19.67
161	142.250.191.195	10.133.19.67
162	142.250.191.195	10.133.19.67
163	142.250.191.195	10.133.19.67
164	142.250.191.195	10.133.19.67
165	142.250.191.195	10.133.19.67
166	142.250.191.195	10.133.19.67
167	10.133.19.67	142.250.191.195
168	10.133.19.67	142.250.191.195
169	142.250.191.195	10.133.19.67
170	142.250.191.106	10.133.19.67
171	10.133.19.67	142.250.191.195
